series,11-2014,12-2014,01-2015,02-2015,03-2015,04-2015,05-2015,06-2015,07-2015,08-2015,09-2015,10-2015,11-2015,12-2015,01-2016,02-2016,03-2016,04-2016,05-2016,06-2016,07-2016,08-2016,09-2016,10-2016,11-2016,12-2016,01-2017,02-2017,03-2017,04-2017,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,11-2017,12-2017,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024,05-2024,06-2024,07-2024,08-2024,09-2024,10-2024,11-2024
New York Incidents,37,31,23,23,45,53,48,56,48,35,39,41,39,50,22,37,47,48,40,49,41,44,51,57,86,73,41,54,68,31,46,60,38,50,46,49,33,38,28,38,40,28,43,50,37,54,45,57,62,41,48,33,77,49,52,52,45,63,46,60,45,46,45,48,46,23,29,51,49,31,45,49,34,34,33,38,71,91,114,86,66,44,77,60,52,52,61,115,94,54,117,108,87,84,67,72,61,33,50,44,86,76,92,72,67,73,79,127,120,75,,,,,,,,,,,
Ohio Incidents,28,38,25,26,21,27,53,42,47,59,34,37,24,21,42,29,40,25,45,43,50,46,43,46,37,25,29,27,29,33,43,43,32,37,28,30,33,25,17,21,20,26,39,30,42,42,39,31,19,38,29,30,23,25,30,26,36,42,29,25,28,30,25,22,35,20,49,48,63,69,53,34,37,39,27,40,52,42,46,54,44,39,46,43,34,29,30,47,44,45,48,51,41,45,41,27,38,23,22,22,26,37,36,52,41,38,53,37,40,33,,,,,,,,,,,
Oklahoma Incidents,3,0,0,2,5,4,4,4,6,3,1,4,4,0,6,2,1,1,3,1,3,6,1,1,6,4,5,1,2,3,3,3,6,2,1,3,0,0,1,1,3,2,1,2,4,3,4,1,3,5,2,2,5,2,4,0,7,3,1,3,0,2,6,1,2,1,3,13,4,7,12,5,1,2,8,3,6,6,9,4,5,5,8,10,3,5,5,3,4,12,6,7,8,3,3,3,5,2,5,2,3,6,6,6,3,10,10,10,4,10,,,,,,,,,,,
Oregon Incidents,10,3,6,3,6,4,6,8,7,6,6,6,2,5,8,4,7,8,9,10,12,8,8,10,11,12,12,15,12,9,14,20,11,8,12,11,11,13,10,8,10,19,12,10,15,11,9,15,6,12,10,15,15,7,10,26,12,15,17,16,14,21,23,15,18,14,31,34,39,21,27,26,25,19,21,20,22,22,32,38,21,35,20,24,16,17,15,22,23,23,26,30,32,23,31,33,23,19,6,31,22,30,13,28,29,29,23,24,31,16,,,,,,,,,,,
Pennsylvania Incidents,6,6,1,5,4,4,8,5,2,2,1,11,7,7,5,4,5,5,4,7,1,1,6,7,19,8,3,8,6,9,12,6,2,6,8,4,6,5,5,5,3,4,6,3,7,1,4,7,13,10,0,0,1,5,2,7,6,7,8,4,6,0,5,10,11,7,3,13,7,10,9,4,7,3,25,12,25,31,38,40,28,26,21,30,40,32,26,32,14,18,30,30,23,20,29,29,22,17,19,15,22,14,19,18,21,28,18,38,37,22,,,,,,,,,,,
Rhode Island Incidents,0,1,0,1,0,0,3,2,5,0,1,3,3,0,1,0,2,0,4,1,2,0,0,0,2,0,0,0,1,2,0,2,0,4,2,0,0,0,1,1,0,1,1,4,1,1,0,3,0,0,3,0,0,2,2,3,0,2,1,0,0,4,4,1,1,1,0,3,0,2,1,0,1,0,2,2,2,1,0,2,2,2,0,2,1,3,2,3,0,1,2,1,3,2,0,2,1,1,2,0,3,2,3,4,1,3,2,2,5,1,,,,,,,,,,,
South Carolina Incidents,3,2,2,6,7,2,2,7,12,4,4,6,3,0,1,3,0,6,1,5,2,1,2,1,4,4,6,8,8,5,7,5,3,10,9,8,12,3,2,3,3,9,2,4,5,4,7,11,5,10,3,5,4,4,4,2,7,3,5,8,9,4,10,6,3,8,7,7,6,13,11,15,8,9,6,8,10,11,6,11,7,8,9,7,5,13,6,5,4,1,6,5,5,5,8,7,5,4,6,11,12,11,6,12,8,6,5,8,12,14,,,,,,,,,,,
South Dakota Incidents,1,1,2,1,1,0,2,0,4,1,1,1,2,1,1,0,1,3,2,3,2,1,1,0,2,2,1,2,2,0,1,1,2,1,1,1,2,1,1,0,2,3,2,0,2,2,1,4,1,2,2,1,1,2,1,2,2,2,1,1,1,3,0,2,0,1,0,1,2,4,3,1,1,2,0,3,2,1,5,2,2,1,4,1,0,1,1,2,3,1,1,1,1,0,2,3,0,1,0,2,1,0,1,2,2,0,0,1,1,1,,,,,,,,,,,
Tennessee Incidents,10,20,23,10,22,24,16,16,19,18,17,26,16,14,16,8,17,6,10,15,20,10,14,11,13,9,7,8,10,8,10,14,13,21,20,12,6,6,15,10,12,12,17,12,11,13,19,13,14,10,6,8,3,11,16,13,12,7,17,7,8,8,9,8,5,5,5,18,6,7,12,10,8,8,9,9,11,8,15,8,13,12,11,15,4,6,4,7,10,8,9,6,7,8,11,6,7,4,8,12,13,4,9,3,4,11,6,7,9,4,,,,,,,,,,,
Texas Incidents,6,5,10,11,15,21,18,23,21,15,22,7,13,15,12,10,14,19,19,14,19,17,8,18,20,9,8,16,10,8,16,13,15,19,7,18,26,28,26,19,39,31,38,36,38,43,32,38,32,32,29,23,37,42,21,26,29,41,42,38,37,41,20,22,38,19,29,82,51,37,48,43,40,48,54,34,45,50,45,44,37,47,46,53,58,40,35,36,37,43,37,63,53,44,55,54,32,50,49,31,31,43,36,37,43,37,37,43,55,58,,,,,,,,,,,
Utah Incidents,5,6,2,3,4,3,2,4,4,7,3,5,3,7,2,3,8,6,7,4,5,8,5,8,10,1,2,5,4,5,1,2,4,5,4,7,4,4,3,3,4,7,1,5,5,3,5,4,2,2,3,3,0,5,2,2,2,3,2,4,5,2,0,5,2,6,4,15,3,3,4,8,6,4,9,3,7,9,9,25,6,6,6,6,5,4,5,7,8,12,7,17,9,10,12,11,9,11,7,11,8,18,6,43,18,12,9,17,15,17,,,,,,,,,,,
Virginia Incidents,7,8,12,3,13,7,9,12,16,19,21,10,22,14,10,7,7,13,6,5,12,14,10,18,18,7,23,13,32,19,23,11,13,28,17,14,13,8,10,11,14,7,9,13,10,17,12,18,11,16,6,11,27,22,22,9,7,12,16,16,14,9,16,14,11,9,11,35,22,13,12,15,11,7,10,8,7,10,7,9,9,8,13,23,12,6,9,17,11,14,9,20,20,16,20,17,18,19,18,19,19,18,18,22,17,23,25,40,24,28,,,,,,,,,,,
Washington Incidents,27,24,16,24,27,17,31,34,27,19,18,21,17,24,22,30,35,30,33,27,46,30,27,39,42,34,41,35,45,49,44,54,48,45,39,40,34,38,25,47,37,41,50,51,54,39,53,53,33,32,28,26,26,32,37,35,58,56,52,39,49,40,33,28,24,24,58,59,53,36,48,43,28,26,41,26,48,50,48,58,70,54,47,52,55,41,38,34,38,41,42,70,47,63,49,46,28,36,42,36,37,33,46,82,40,54,45,54,46,42,,,,,,,,,,,
Wisconsin Incidents,6,5,3,7,5,2,2,2,2,4,6,4,4,2,3,0,2,10,1,3,3,3,4,1,5,4,7,2,3,4,2,3,8,3,4,2,2,2,5,11,5,2,4,6,3,2,1,7,0,2,4,0,3,1,4,3,9,5,6,3,4,4,8,6,3,2,11,17,1,16,17,8,6,2,10,2,10,14,8,15,17,16,8,7,3,7,5,8,26,13,16,14,16,9,12,14,10,4,6,9,10,15,16,2,14,8,18,10,17,11,,,,,,,,,,,
West Virginia Incidents,5,2,5,3,0,4,5,2,5,6,2,2,2,5,3,2,6,4,3,5,4,2,5,4,2,1,1,6,3,3,3,4,2,2,2,6,2,5,5,3,4,1,9,9,4,12,9,5,11,11,7,3,5,4,7,5,2,3,7,1,5,5,7,7,1,5,7,6,6,8,6,6,8,3,5,3,8,4,5,3,8,4,2,5,5,6,5,7,0,3,8,2,5,2,3,4,5,7,7,7,2,4,7,3,7,5,6,9,5,4,,,,,,,,,,,
Wyoming Incidents,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2,2,0,0,2,2,2,2,0,2,2,1,4,3,1,1,1,3,2,0,1,2,0,1,2,2,1,0,4,1,3,3,1,0,2,1,1,0,2,1,1,0,3,3,0,2,4,3,,,,,,,,,,,
